Bezeichner	Straße	PLZ	Ort	Voraussichtliche Inbetriebnahme
Grundschule Ladelung-Achtrup	Schulstr. 3	25917	Achtrup	2020 Q3
Arnesboken-Schule	Gartenweg 8 a	23623	Ahrensbök	Termin noch offen
Grundschule Am Aalfang	Ahrensfelder Weg 43	22926	Ahrensburg	18.06.2019
Grundschule Am Hagen	Dänenweg 13	22926	Ahrensburg	15.08.2019
Fritz-Reuter-Schule	Fritz-Reuter-Straße 51 - 53	22926	Ahrensburg	in Planung
Berufliche Schule des Kreises Stormarn in Ahrensburg	Hermann-Löns-Straße 38	22926	Ahrensburg	27.02.2020
Eric-Kandel-Gymnasium 	Reesenbüttler Redder 4 - 10	22926	Ahrensburg	02.07.2019
Gemeinschaftsschule Am Heimgarten	Reesenbüttler Redder 4 - 10	22926	Ahrensburg	02.07.2019
Grundschule Am Reesenbüttel	Schimmelmannstraße 46	22926	Ahrensburg	13.06.2019
Woldenhorn-Schule	Schulstraße 13	22926	Ahrensburg	27.02.2020
Grundschule Am Schloß	Schulstraße 4	22926	Ahrensburg	27.02.2020
Stormarnschule	Waldstraße 14	22926	Ahrensburg	10.07.2019
Selma-Lagerlöf-Gemeinschaftsschule 	Wulfsdorfer Weg 71	22926	Ahrensburg	13.06.2019
Gemeinschaftsschule am Brutkamp	Brutkamp 14	25767	Albersdorf	2020 Q1
Wulf-Isebrand-Schule	Wulf-Isebrand-Straße 2	25767	Albersdorf	2020 Q1
Förderzentrum Süderdithmarschen 	Wulf-Isebrand-Straße 2 a	25767	Albersdorf	2020 Q1
Grundschule Alt Duvenstedt	Dorfstraße 13	24791	Alt Duvenstedt	2020 Q3
Pestalozzischule	Kiekut 11	24340	Altenhof	Derzeit keine wirtschaftliche Realisierung möglich
Claus-Rixen-Schule	Danziger Straße 18 a	24161	Altenholz	02.07.2018
Gymnasium Altenholz	Danziger Straße 18 a	24161	Altenholz	02.07.2018
Gemeinschaftsschule Altenholz	Danziger Straße 18 c	24161	Altenholz	02.07.2018
Claus-Rixen-Schule	Klausdorfer Straße 72 - 74	24161	Altenholz	20.02.2018
Helene-Dieckmann-Schule	Klausdorfer Straße 74	24161	Altenholz	20.02.2018
Grundschule Alveslohe	Bahnhofstraße 4	25486	Alveslohe	in Planung
Grundschule Bünningstedt	Steenhoop 32	22949	Ammersbek	Termin noch offen
Grundschule Hoisbüttel	Teichweg 27	22949	Ammersbek	2020 Q3
Heideweg-Schule	Heideweg 1 a	25482	Appen	2020 Q4
Grundschule Appen	Schulstraße 4	25482	Appen	2020 Q4
Schule Vogelsang	Vogelsang 12	24326	Ascheberg (Holstein)	2020 Q3
Grundschule Hüttener Berge	Schulberg	24358	Ascheffel	31.07.2018
Aukrugschule	Ziegeleiweg 15	24613	Aukrug	2020 Q3
Fürstin-Ann-Mari-von-Bismarck-Schule	Ernst-Anton-Straße 27	21521	Aumühle	2020 Q3
Grundschule Am Bahnhof	Am Bahnhof 16	24576	Bad Bramstedt	20.06.2019
Jürgen-Fuhlendorf-Schule	Düsternhoop 48	24576	Bad Bramstedt	18.07.2019
Grundschule am Storchennest	Hoffeldweg 1 b	24576	Bad Bramstedt	20.06.2019
Bramau-Schule	Maienbeeck 11	24576	Bad Bramstedt	2021 Q4
Grundschule Maienbeeck	Maienbeeck 11	24576	Bad Bramstedt	2021 Q4
Gemeinschaftsschule Auenland	Schäferberg 28	24576	Bad Bramstedt	2021 Q4
